"hhid","Income","FamSize","college","retired","cluster","choice","PPkStk","PBBStk","PFlStk","PHseStk","PGenStk","PImpStk","PSSTub","PPkTub","PFlTub","PHseTub"
2100560,17.5,1,0,0,7,2,0.63,0.67,0.99,0.57,0.49,0.93,0.85,0.98,1.17,0.59
2100560,17.5,1,0,0,7,4,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2100610,87.5,1,1,0,10,7,0.67,0.67,1.08,0.57,0.53,0.83,0.85,0.98,1.17,0.59
2100610,87.5,1,1,0,10,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2100628,12.5,2,0,1,9,1,0.58,0.25,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2100685,17.5,2,1,0,7,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2100685,17.5,2,1,0,7,2,0.25,0.39,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2100685,17.5,2,1,0,7,3,0.5,0.58,0.99,0.19,0.34,0.72,0.65,1.07,1.19,0.59
2100685,17.5,2,1,0,7,4,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100685,17.5,2,1,0,7,3,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.11,1.19,0.56
2100685,17.5,2,1,0,7,3,0.39,0.58,0.99,0.29,0.33,0.69,0.63,1.09,1.19,0.56
2100693,17.5,2,0,1,7,9,0.62,0.5,1.13,0.57,0.36,0.93,0.85,1.16,1.19,0.59
2100693,17.5,2,0,1,7,9,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2100693,17.5,2,0,1,7,9,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
2100693,17.5,2,0,1,7,4,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
2100693,17.5,2,0,1,7,9,0.62,0.61,0.99,0.49,0.33,0.75,0.5,1.09,1.19,0.59
2100693,17.5,2,0,1,7,9,0.62,0.61,0.99,0.49,0.33,0.75,0.65,1.09,1.19,0.59
2100693,17.5,2,0,1,7,4,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2100693,17.5,2,0,1,7,9,0.58,0.6,0.99,0.45,0.33,0.75,0.65,1.07,1.19,0.59
2100693,17.5,2,0,1,7,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100693,17.5,2,0,1,7,3,0.58,0.58,0.99,0.45,0.33,0.72,0.65,1.07,1.19,0.59
2100693,17.5,2,0,1,7,9,0.58,0.25,0.99,0.45,0.33,0.72,0.65,1.07,1.19,0.59
2100693,17.5,2,0,1,7,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100693,17.5,2,0,1,7,9,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100693,17.5,2,0,1,7,9,0.58,0.58,0.99,0.29,0.33,0.69,0.5,1.08,1.19,0.56
2100693,17.5,2,0,1,7,3,0.58,0.58,0.99,0.29,0.33,0.69,0.5,1.08,1.19,0.56
2100693,17.5,2,0,1,7,9,0.29,0.5,0.99,0.29,0.33,0.69,0.56,1.09,1.19,0.56
2100693,17.5,2,0,1,7,1,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2100750,27.5,5,1,0,1,1,0.29,0.67,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.33
2100750,27.5,5,1,0,1,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2100750,27.5,5,1,0,1,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2100750,27.5,5,1,0,1,2,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2100750,27.5,5,1,0,1,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2100750,27.5,5,1,0,1,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2100750,27.5,5,1,0,1,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.11,1.19,0.56
2100750,27.5,5,1,0,1,1,0.29,0.55,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2100750,27.5,5,1,0,1,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2100834,67.5,2,1,0,10,7,0.62,0.5,1.09,0.57,0.36,0.93,0.75,1.09,1.19,0.59
2100834,67.5,2,1,0,10,7,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2100834,67.5,2,1,0,10,10,0.58,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100834,67.5,2,1,0,10,2,0.58,0.44,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100834,67.5,2,1,0,10,7,0.39,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2100875,32.5,5,0,0,6,7,0.63,0.67,0.99,0.57,0.49,0.93,0.71,0.98,1.17,0.59
2100875,32.5,5,0,0,6,10,0.66,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2100875,32.5,5,0,0,6,2,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2100933,22.5,1,1,0,4,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2100933,22.5,1,1,0,4,1,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2101188,7.5,1,0,1,3,3,0.67,0.67,1.08,0.57,0.39,0.83,0.85,0.98,1.17,0.59
2101188,7.5,1,0,1,3,3,0.66,0.59,0.99,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2101188,7.5,1,0,1,3,3,0.29,0.32,0.99,0.64,0.34,0.58,0.79,1.09,1.19,0.64
2101188,7.5,1,0,1,3,3,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
2101188,7.5,1,0,1,3,3,0.62,0.61,0.99,0.57,0.36,0.73,0.85,1.09,1.19,0.58
2101188,7.5,1,0,1,3,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101188,7.5,1,0,1,3,3,0.29,0.5,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.59
2101188,7.5,1,0,1,3,3,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.57
2101188,7.5,1,0,1,3,3,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2101295,47.5,2,0,1,8,1,0.63,0.59,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2101295,47.5,2,0,1,8,1,0.66,0.59,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2101295,47.5,2,0,1,8,1,0.62,0.5,1.09,0.57,0.36,1.23,0.85,1.24,1.34,0.71
2101295,47.5,2,0,1,8,1,0.62,0.5,1.09,0.58,0.34,1.07,0.85,1.1,1.19,0.63
2101295,47.5,2,0,1,8,4,0.62,0.61,0.99,0.29,0.37,0.75,0.85,1.09,1.19,0.59
2101295,47.5,2,0,1,8,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2101295,47.5,2,0,1,8,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101295,47.5,2,0,1,8,2,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2101295,47.5,2,0,1,8,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101295,47.5,2,0,1,8,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101303,27.5,3,1,0,1,2,0.63,0.59,1.09,0.57,0.33,0.75,0.85,0.98,0.69,0.59
2101303,27.5,3,1,0,1,1,0.63,0.72,0.99,0.57,0.36,0.42,0.85,1.09,1.19,0.52
2101303,27.5,3,1,0,1,1,0.62,0.67,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.59
2101303,27.5,3,1,0,1,1,0.62,0.29,1.1,0.58,0.33,0.95,0.85,1.09,1.19,0.6
2101303,27.5,3,1,0,1,1,0.62,0.5,1.09,0.57,0.33,0.78,0.85,1.09,1.19,0.59
2101303,27.5,3,1,0,1,1,0.5,0.6,0.99,0.45,0.33,0.75,0.85,1.08,1.19,0.59
2101303,27.5,3,1,0,1,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101303,27.5,3,1,0,1,1,0.58,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
2101378,12.5,5,0,0,9,2,0.62,0.5,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.59
2101378,12.5,5,0,0,9,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2101378,12.5,5,0,0,9,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101378,12.5,5,0,0,9,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101378,12.5,5,0,0,9,4,0.25,0.61,0.99,0.45,0.33,0.74,0.85,1.09,1.19,0.59
2101378,12.5,5,0,0,9,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101378,12.5,5,0,0,9,6,0.5,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
2101378,12.5,5,0,0,9,1,0.5,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
2101378,12.5,5,0,0,9,6,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101378,12.5,5,0,0,9,2,0.58,0.45,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
2101378,12.5,5,0,0,9,4,0.58,0.58,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
2101378,12.5,5,0,0,9,1,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.57
2101378,12.5,5,0,0,9,6,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.57
2101378,12.5,5,0,0,9,1,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
2101378,12.5,5,0,0,9,1,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.1,1.19,0.56
2101451,55,4,0,0,10,8,0.46,0.67,1.09,0.57,0.35,0.93,0.85,1.09,1.19,0.33
2101451,55,4,0,0,10,8,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.2,0.33
2101451,55,4,0,0,10,8,0.63,0.65,1.09,0.56,0.36,0.93,0.85,1.09,1.19,0.6
2101451,55,4,0,0,10,8,0.63,0.67,0.99,0.57,0.36,0.87,0.64,1.09,1.15,0.59
2101451,55,4,0,0,10,8,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.62,0.54,1.03,0.57,0.33,0.79,0.85,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.62,0.5,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.62,0.5,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.62,0.61,0.99,0.33,0.36,0.75,0.65,1.09,1.2,0.58
2101451,55,4,0,0,10,8,0.62,0.5,0.99,0.57,0.33,0.75,0.85,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.62,0.61,0.99,0.49,0.33,0.75,0.5,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.62,0.61,0.99,0.45,0.33,0.75,0.65,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.58,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101451,55,4,0,0,10,8,0.5,0.6,0.99,0.45,0.33,0.75,0.85,1.07,1.19,0.59
2101451,55,4,0,0,10,8,0.5,0.58,0.99,0.45,0.34,0.72,0.85,1.07,1.19,0.59
2101451,55,4,0,0,10,8,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101451,55,4,0,0,10,8,0.58,0.45,0.99,0.45,0.34,0.72,0.65,1.07,1.19,0.59
2101451,55,4,0,0,10,8,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101451,55,4,0,0,10,8,0.58,0.55,0.99,0.37,0.34,0.72,0.65,1.07,1.19,0.59
2101451,55,4,0,0,10,8,0.58,0.25,0.99,0.29,0.34,0.72,0.5,1.07,1.19,0.59
2101451,55,4,0,0,10,8,0.58,0.58,0.99,0.29,0.33,0.69,0.5,1.07,1.19,0.56
2101451,55,4,0,0,10,8,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2101451,55,4,0,0,10,8,0.29,0.45,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2101451,55,4,0,0,10,8,0.58,0.19,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
2101451,55,4,0,0,10,8,0.58,0.58,0.99,0.29,0.34,0.69,0.63,1.07,1.19,0.56
2101618,22.5,4,0,0,2,7,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.12,1.19,0.56
2101618,22.5,4,0,0,2,8,0.47,0.54,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2101675,17.5,2,0,0,7,4,0.58,0.53,0.99,0.33,0.33,0.72,0.85,1.07,1.18,0.59
2101675,17.5,2,0,0,7,4,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2101675,17.5,2,0,0,7,7,0.58,0.58,0.99,0.29,0.34,0.69,0.5,1.07,1.19,0.56
2101675,17.5,2,0,0,7,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2101741,27.5,3,0,0,1,7,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101741,27.5,3,0,0,1,7,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
2101741,27.5,3,0,0,1,7,0.39,0.55,0.99,0.29,0.34,0.69,0.56,1.09,1.19,0.56
2101758,55,4,1,0,10,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101758,55,4,1,0,10,2,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2101758,55,4,1,0,10,1,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101758,55,4,1,0,10,2,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101758,55,4,1,0,10,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2101949,37.5,4,1,0,8,1,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2101949,37.5,4,1,0,8,2,0.63,0.67,0.99,0.57,0.36,0.93,0.85,1.09,1.19,0.58
2101949,37.5,4,1,0,8,1,0.62,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2101949,37.5,4,1,0,8,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2101949,37.5,4,1,0,8,8,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2101949,37.5,4,1,0,8,1,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101949,37.5,4,1,0,8,1,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101949,37.5,4,1,0,8,1,0.58,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101949,37.5,4,1,0,8,1,0.58,0.25,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101949,37.5,4,1,0,8,1,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
2101949,37.5,4,1,0,8,8,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2101949,37.5,4,1,0,8,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2101956,27.5,2,1,1,1,9,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2101956,27.5,2,1,1,1,1,0.62,0.5,0.99,0.57,0.36,0.6,0.85,1.09,1.24,0.47
2101956,27.5,2,1,1,1,8,0.62,0.5,0.99,0.57,0.36,0.6,0.85,1.09,1.24,0.47
2101956,27.5,2,1,1,1,9,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101956,27.5,2,1,1,1,2,0.58,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2101956,27.5,2,1,1,1,9,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101956,27.5,2,1,1,1,2,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2101956,27.5,2,1,1,1,2,0.58,0.45,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
2101956,27.5,2,1,1,1,8,0.58,0.45,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
2101956,27.5,2,1,1,1,2,0.58,0.45,1.02,0.25,0.34,0.92,0.85,1.07,1.19,0.59
2102046,7.5,2,0,1,5,2,0.29,0.5,1.01,0.57,0.36,0.69,0.66,1.09,1.19,0.59
2102046,7.5,2,0,1,5,1,0.62,0.54,1.03,0.57,0.33,0.79,0.85,1.09,1.19,0.59
2102046,7.5,2,0,1,5,1,0.62,0.54,1.03,0.57,0.33,0.79,0.85,1.09,1.19,0.59
2102046,7.5,2,0,1,5,1,0.62,0.6,0.99,0.33,0.36,0.79,0.85,1.09,1.19,0.57
2102046,7.5,2,0,1,5,1,0.62,0.61,0.99,0.53,0.36,0.71,0.85,1.09,1.19,0.59
2102046,7.5,2,0,1,5,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102046,7.5,2,0,1,5,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102046,7.5,2,0,1,5,1,0.5,0.58,0.99,0.19,0.33,0.69,0.85,1.07,1.19,0.59
2102046,7.5,2,0,1,5,1,0.58,0.45,1.02,0.25,0.34,0.92,0.85,1.07,1.19,0.59
2102046,7.5,2,0,1,5,1,0.58,0.58,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.59
2102046,7.5,2,0,1,5,1,0.19,0.6,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2102046,7.5,2,0,1,5,2,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2102046,7.5,2,0,1,5,1,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2102087,7.5,2,0,0,5,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102087,7.5,2,0,0,5,2,0.58,0.19,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
2102152,12.5,5,0,0,9,1,0.63,0.67,0.99,0.57,0.49,0.93,0.85,0.98,1.17,0.59
2102152,12.5,5,0,0,9,1,0.63,0.67,1.08,0.57,0.33,0.93,0.85,0.98,1.17,0.59
2102152,12.5,5,0,0,9,1,0.63,0.67,1.08,0.57,0.33,0.93,0.85,0.98,1.17,0.59
2102152,12.5,5,0,0,9,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102152,12.5,5,0,0,9,1,0.5,0.5,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2102152,12.5,5,0,0,9,1,0.58,0.58,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.55
2102186,22.5,2,0,1,4,2,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,1,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2102186,22.5,2,0,1,4,1,0.29,0.5,1.01,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2102186,22.5,2,0,1,4,4,0.62,0.61,1.09,0.29,0.36,0.75,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,5,0.62,0.61,0.99,0.33,0.36,0.75,0.85,1.09,1.2,0.58
2102186,22.5,2,0,1,4,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,8,0.62,0.61,0.99,0.48,0.33,0.75,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,1,0.5,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102186,22.5,2,0,1,4,2,0.58,0.25,0.99,0.27,0.33,0.92,0.85,1.07,1.19,0.59
2102186,22.5,2,0,1,4,1,0.58,0.45,0.99,0.29,0.33,0.78,0.85,1.07,1.19,0.58
2102186,22.5,2,0,1,4,1,0.29,0.5,0.99,0.3,0.33,0.72,0.85,1.07,1.19,0.59
2102186,22.5,2,0,1,4,2,0.58,0.25,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2102186,22.5,2,0,1,4,3,0.58,0.25,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2102186,22.5,2,0,1,4,1,0.19,0.51,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2102186,22.5,2,0,1,4,2,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2102228,130,2,1,0,10,9,0.66,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2102228,130,2,1,0,10,9,0.29,0.5,0.99,0.57,0.35,0.69,0.79,1.09,1.19,0.67
2102228,130,2,1,0,10,3,0.62,0.61,0.99,0.49,0.34,0.75,0.65,1.09,1.19,0.59
2102228,130,2,1,0,10,3,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2102228,130,2,1,0,10,3,0.29,0.5,0.99,0.29,0.34,0.69,0.56,1.09,1.19,0.56
2102251,27.5,4,0,0,1,4,0.63,0.67,1.1,0.57,0.36,0.93,0.85,1.08,1.18,0.33
2102251,27.5,4,0,0,1,6,0.63,0.63,1.11,0.58,0.36,0.33,0.85,1.08,1.19,0.47
2102251,27.5,4,0,0,1,2,0.62,0.29,1.1,0.58,0.33,0.95,0.85,1.09,1.19,0.6
2102251,27.5,4,0,0,1,4,0.62,0.51,0.99,0.57,0.36,0.71,0.85,1.12,1.11,0.63
2102251,27.5,4,0,0,1,4,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2102251,27.5,4,0,0,1,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102251,27.5,4,0,0,1,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102251,27.5,4,0,0,1,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2102251,27.5,4,0,0,1,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
